"bill_id","legislator_id","MemberName","BillName","Vote"
"ga2017HB308",99,"Riggs","HB308","YAY"
"ga2017SB011",99,"Riggs","SB011","YEA"
"ga2017HB058",99,"Riggs","HB058","YAY"
"ga2017HB119",99,"Riggs","HB119","YAY"
"ga2017SB002",99,"Riggs","SB002","YAY"
"ga2017SB081",99,"Riggs","SB081","YEA"
"ga2017HB522",99,"Riggs","HB522","YAY"
"ga2017HB177",99,"Riggs","HB177","YAY"
"ga2017HB448",99,"Riggs","HB448","NV"
"ga2017SB165",99,"Riggs","SB165","YAY"
"ga2017SB021",99,"Riggs","SB021","YAY"
"ga2017HB384",99,"Riggs","HB384","YAY"
"ga2017HB319",99,"Riggs","HB319","NV"
"ga2017HB013",99,"Riggs","HB013","YAY"
"ga2017HB038",99,"Riggs","HB038","YAY"
"ga2017HB394",99,"Riggs","HB394","YAY"
"ga2017SB140",99,"Riggs","SB140","YAY"
"ga2017HB515",99,"Riggs","HB515","YAY"
"ga2017HB257",99,"Riggs","HB257","NAY"
"ga2017HB145",99,"Riggs","HB145","YAY"
"ga2017HB128",99,"Riggs","HB128","YAY"
"ga2017HB403",99,"Riggs","HB403","NAY"
"ga2017HB093",99,"Riggs","HB093","YAY"
"ga2017HB323",99,"Riggs","HB323","YAY"
"ga2017SB091",99,"Riggs","SB091","YEA"
"ga2017HB306",99,"Riggs","HB306","YAY"
"ga2017HB401",99,"Riggs","HB401","NV"
"ga2017HB388",99,"Riggs","HB388","YAY"
"ga2017SB039",99,"Riggs","SB039","YAY"
"ga2017SB218",99,"Riggs","SB218","YAY"
"ga2017HB151",99,"Riggs","HB151","NAY"
"ga2017SB128",99,"Riggs","SB128","YAY"
"ga2017HB525",99,"Riggs","HB525","YAY"
"ga2017SB079",100,"Riley","SB079","YAY"
"ga2017HB343",100,"Riley","HB343","YAY"
"ga2017HB026",100,"Riley","HB026","YAY"
"ga2017HB100",100,"Riley","HB100","NV"
"ga2017HB113",100,"Riley","HB113","YAY"
"ga2017HB192",100,"Riley","HB192","YAY"
"ga2017HB035",100,"Riley","HB035","YAY"
"ga2017HB291",100,"Riley","HB291","YAY"
"ga2017HB276",100,"Riley","HB276","YAY"
"ga2017HB271",100,"Riley","HB271","YAY"
"ga2017SB062",100,"Riley","SB062","YEA"
"ga2017SB101",100,"Riley","SB101","YAY"
"ga2017HB144",100,"Riley","HB144","YAY"
