"legislator_id","bill_id","bill","sponsors"
137,"ga2017SB129","SB129","A. Wuchner"
137,"ga2017SB417","SB417","A. Wuchner"
137,"ga2017SB147","SB147","A. Wuchner"
137,"ga2017SB192","SB192","A. Wuchner"
137,"ga2017SB408","SB408","A. Wuchner"
137,"ga2017SB436","SB436","A. Wuchner"
137,"ga2017SB454","SB454","A. Wuchner"
137,"ga2017SB252","SB252","A. Wuchner"
137,"ga2017SB396","SB396","A. Wuchner"
137,"ga2017SB307","SB307","A. Wuchner"
137,"ga2017SB100","SB100","A. Wuchner"
137,"ga2017SB226","SB226","A. Wuchner"
137,"ga2017SB227","SB227","A. Wuchner"
137,"ga2017SB332","SB332","A. Wuchner"
137,"ga2017SB333","SB333","A. Wuchner"
137,"ga2017SB524","SB524","A. Wuchner"
137,"ga2017SB248","SB248","A. Wuchner"
137,"ga2017SB151","SB151","A. Wuchner"
137,"ga2017SB296","SB296","A. Wuchner"
137,"ga2017SB304","SB304","A. Wuchner"
137,"ga2017SB065","SB065","A. Wuchner"
137,"ga2017SB060","SB060","A. Wuchner"
137,"ga2017SB247","SB247","A. Wuchner"
137,"ga2017SB407","SB407","A. Wuchner"
137,"ga2017SB003","SB003","A. Wuchner"
137,"ga2017SB063","SB063","A. Wuchner"
137,"ga2017SB314","SB314","A. Wuchner"
137,"ga2017SB402","SB402","A. Wuchner"
137,"ga2017SB002","SB002","A. Wuchner"
